region,value,year
10026,230,2020.0
11217,229,2020.0
11358,226,2020.0
10465,226,2020.0
11231,225,2020.0
10301,225,2020.0
11213,224,2020.0
11417,222,2020.0
10065,221,2020.0
11102,219,2020.0
10303,213,2020.0
11224,212,2020.0
11421,211,2020.0
10034,211,2020.0
11416,209,2020.0
11365,206,2020.0
11233,204,2020.0
11225,202,2020.0
11228,200,2020.0
11433,199,2020.0
10302,199,2020.0
10035,197,2020.0
10473,194,2020.0
10040,192,2020.0
11104,189,2020.0
10038,181,2020.0
11205,180,2020.0
11361,177,2020.0
11414,177,2020.0
11413,173,2020.0
10454,171,2020.0
11423,169,2020.0
11040,169,2020.0
10475,163,2020.0
10075,153,2020.0
11367,151,2020.0
11364,148,2020.0
11412,147,2020.0
11580,145,2020.0
11356,144,2020.0
11428,138,2020.0
10308,138,2020.0
11369,133,2020.0
11429,131,2020.0
10007,130,2020.0
10474,129,2020.0
11691,129,2020.0
10030,128,2020.0
11249,125,2020.0
11426,123,2020.0
10704,122,2020.0
11422,120,2020.0
11370,117,2020.0
10039,115,2020.0
11366,114,2020.0
10470,104,2020.0
11694,97,2020.0
10004,96,2020.0
10037,95,2020.0
11427,92,2020.0
10307,90,2020.0
11362,88,2020.0
10550,87,2020.0
11801,85,2020.0
11436,85,2020.0
11001,83,2020.0
11003,83,2020.0
11415,81,2020.0
10005,81,2020.0
11590,80,2020.0
10701,80,2020.0
11693,74,2020.0
11746,74,2020.0
10471,74,2020.0
11004,73,2020.0
11520,73,2020.0
11729,72,2020.0
10801,72,2020.0
11411,68,2020.0
11550,64,2020.0
11501,64,2020.0
11735,63,2020.0
11714,62,2020.0
11010,62,2020.0
11581,62,2020.0
10705,61,2020.0
11572,60,2020.0
11756,59,2020.0
11360,59,2020.0
07093,58,2020.0
11530,54,2020.0
11710,53,2020.0
11239,50,2020.0
11692,49,2020.0
10977,49,2020.0
11554,48,2020.0
11803,47,2020.0
11706,47,2020.0
10710,47,2020.0
11430,45,2020.0
11552,45,2020.0
11510,43,2020.0
11757,42,2020.0
11758,42,2020.0
11747,40,2020.0
11561,40,2020.0
11021,39,2020.0
10020,38,2020.0
11779,38,2020.0
10541,38,2020.0
11096,38,2020.0
10708,37,2020.0
07004,35,2020.0
07306,35,2020.0
10006,34,2020.0
11743,34,2020.0
11542,34,2020.0
10583,34,2020.0
11791,33,2020.0
11563,32,2020.0
07047,31,2020.0
11566,31,2020.0
11701,30,2020.0
10464,29,2020.0
11793,29,2020.0
10965,28,2020.0
11507,27,2020.0
10805,27,2020.0
11704,26,2020.0
10956,26,2020.0
07087,26,2020.0
10603,26,2020.0
11553,26,2020.0
10573,26,2020.0
10703,26,2020.0
11363,26,2020.0
10280,26,2020.0
11717,25,2020.0
07727,25,2020.0
07304,24,2020.0
11570,24,2020.0
10598,24,2020.0
11050,24,2020.0
10579,23,2020.0
10803,23,2020.0
07111,22,2020.0
10552,22,2020.0
11516,22,2020.0
11598,22,2020.0
11030,22,2020.0
11726,21,2020.0
07010,21,2020.0
11787,20,2020.0
11596,20,2020.0
11716,20,2020.0
10707,20,2020.0
11371,20,2020.0
11577,20,2020.0
10044,20,2020.0
11725,20,2020.0
07601,19,2020.0
11762,19,2020.0
07410,19,2020.0
07086,19,2020.0
10604,19,2020.0
08857,19,2020.0
10709,19,2020.0
07666,19,2020.0
10562,19,2020.0
10523,19,2020.0
07070,18,2020.0
14221,18,2020.0
11575,18,2020.0
07103,18,2020.0
11023,18,2020.0
12533,18,2020.0
10553,17,2020.0
11783,17,2020.0
10069,17,2020.0
11753,17,2020.0
11741,17,2020.0
10512,17,2020.0
10543,17,2020.0
10282,16,2020.0
07632,16,2020.0
11558,16,2020.0
07024,16,2020.0
11768,16,2020.0
12590,16,2020.0
10566,16,2020.0
10954,16,2020.0
07011,15,2020.0
07747,15,2020.0
11763,15,2020.0
11795,15,2020.0
11731,15,2020.0
07305,15,2020.0
10530,15,2020.0
07002,14,2020.0
07112,14,2020.0
10538,14,2020.0
07106,14,2020.0
12550,14,2020.0
10901,14,2020.0
07728,14,2020.0
11772,14,2020.0
11702,14,2020.0
11788,14,2020.0
07726,14,2020.0
10567,14,2020.0
10570,14,2020.0
07731,13,2020.0
11565,13,2020.0
07307,13,2020.0
11766,13,2020.0
10119,13,2020.0
10950,13,2020.0
07030,13,2020.0
11697,13,2020.0
11722,13,2020.0
10528,13,2020.0
10804,13,2020.0
08879,13,2020.0
11733,13,2020.0
06902,12,2020.0
07017,12,2020.0
07631,12,2020.0
12553,12,2020.0
45242,12,2020.0
11797,12,2020.0
11576,12,2020.0
07470,12,2020.0
10601,11,2020.0
29601,11,2020.0
11557,11,2020.0
10952,11,2020.0
10940,11,2020.0
10990,11,2020.0
07094,11,2020.0
10509,11,2020.0
10549,11,2020.0
07652,11,2020.0
07621,11,2020.0
